Compile Programms
Run Programs
Sequencial Program
n		samples		avgTime(ms)		std(ms)
200		20		97.93			2.11
400		20		900.94			80.69
600		20		3192.59			165.99
800		20		10329.23			248.92
1000		20		21502.02			361.99
1200		20		38402.17			884.34
1400		20		60630.68			710.73
1600		20		89916.51			1378.98
1800		20		132814.64			2482.62
2000		20		184267.54			6309.02
Parallel Program
n		samples		avgTime(ms)		std(ms)
200		20		53.83			0.63
400		20		443.24			3.84
600		20		1637.29			16.56
800		20		4286.42			16.28
1000		20		8840.28			107.98
1200		20		15623.67			266.37
1400		20		26368.50			375.86
1600		20		41362.85			756.16
1800		20		62440.54			965.92
2000		20		88080.51			2039.93
Optimized Parallel Program
n		samples		avgTime(ms)		std(ms)
200		20		51.47			4.36
400		20		415.19			23.93
600		20		1344.71			38.08
800		20		3132.45			76.47
1000		20		6024.86			97.37
1200		20		10356.68			120.09
1400		20		16484.53			234.55
1600		20		24407.66			313.79
1800		20		34826.50			562.72
2000		20		47395.52			460.08

